DomainName,CreationDate,ExpirationDate,RegistrarCountry,Secured,Servers,Type
 0.wine, 2016-01-23, 2027-01-23, CN, unsigned, ns4.myhostadmin.net,ns
 0.wine, 2016-01-23, 2027-01-23, CN, unsigned, ns5.myhostadmin.net,ns
 000.wine, 2016-01-27, 2018-01-27, IT, unsigned, ns1.register.it,ns
 000.wine, 2016-01-27, 2018-01-27, IT, unsigned, ns2.register.it,ns
 0000.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 0000.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 001.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 001.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 0049.wine, 2016-01-27, 2018-01-27, DE, unsigned, ns.udag.org,ns
 0049.wine, 2016-01-27, 2018-01-27, DE, unsigned, ns.udag.net,ns
 0049.wine, 2016-01-27, 2018-01-27, DE, unsigned, ns.udag.de,ns
 005.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns4.myhostadmin.net,ns
 005.wine, 2016-03-24, 2018-03-24, CN, unsigned, ns3.myhostadmin.net,ns
 007.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns4.myhostadmin.net,ns
 007.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns3.myhostadmin.net,ns
 008.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns5.myhostadmin.net,ns
 008.wine, 2016-03-16, 2018-03-16, CN, unsigned, ns6.myhostadmin.net,ns
 009.wine, 2016-03-16, 2019-03-16, CN, unsigned, ns2.myhostadmin.net,ns
 009.wine, 2016-03-16, 2019-03-16, CN, unsigned, ns1.myhostadmin.net,ns
 010.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns54.domaincontrol.com,ns
 010.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns53.domaincontrol.com,ns
 020.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns54.domaincontrol.com,ns
 020.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns53.domaincontrol.com,ns
 024.wine, 2017-04-08, 2019-04-08, CN, unsigned, ns2.myhostadmin.net,ns
 024.wine, 2017-04-08, 2019-04-08, CN, unsigned, ns1.myhostadmin.net,ns
 WINE.COM, 1994-06-13, 2020-10-24, US, unsigned, NS1.P29.DYNECT.NET,ns
 WINE.COM, 1994-06-13, 2020-10-24, US, unsigned, NS2.P29.DYNECT.NET,ns
 WINE.COM, 1994-06-13, 2020-10-24, US, unsigned, NS3.P29.DYNECT.NET,ns
 WINE.COM, 1994-06-13, 2020-10-24, US, unsigned, NS4.P29.DYNECT.NET,ns
 021.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns54.domaincontrol.com,ns
 021.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns53.domaincontrol.com,ns
 022.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns54.domaincontrol.com,ns
 022.wine, 2016-01-27, 2018-01-27, CN, unsigned, ns53.domaincontrol.com,ns
